age_band,age_lower,sex,ihd_rate,stroke_rate
<20,0,female,0.49434497738,15.04075475269
20-24,20,female,4.06729474913,22.19738694246
25-29,25,female,4.12680306904,28.44420010033
30-34,30,female,5.37595657771,36.39643685053
35-39,35,female,7.81517525536,46.07182757053
40-44,40,female,13.74886559377,60.92136701998
45-49,45,female,24.17616467012,81.44486618216
50-54,50,female,41.75882409814,102.84759110673
55-59,55,female,67.66396940352,124.87616680781
60-64,60,female,105.04575468949,164.53119821955
65-69,65,female,163.96279558126,221.27540257098
70-74,70,female,239.35696466209,295.49160493997
75-79,75,female,315.51364773702,389.30730846863
80-84,80,female,461.63737276868,577.26210489926
85-89,85,female,701.59322821191,863.52793998631
90-94,90,female,1118.21660944757,1146.09842966197
95+,95,female,1812.50357014601,1419.85522649722
<20,0,male,0.52697923077,15.10024506681
20-24,20,male,5.45014426409,23.53572224402
25-29,25,male,7.70666993836,32.79032226923
30-34,30,male,13.81693641306,41.69665693812
35-39,35,male,23.74342939636,50.34913862648
40-44,40,male,44.65383229033,64.42487891935
45-49,45,male,80.05975621816,84.31444537518
50-54,50,male,128.65886075722,115.15837536557
55-59,55,male,191.93253124561,157.53916167371
60-64,60,male,271.84204541302,207.75411615686
65-69,65,male,363.62774557683,266.75411811729
70-74,70,male,489.04135013706,382.53180258658
75-79,75,male,601.99688000825,550.75970328511
80-84,80,male,777.03765265615,728.77888282516
85-89,85,male,1052.48425597447,921.7931621695
90-94,90,male,1517.43382273201,1109.11154699097
95+,95,male,2245.67679307758,1296.02145783883
